image,width,height,birds,seconds
IMG_055400.jpg,1024,600,1,1.41
IMG_055401.jpg,1024,600,10,0.67
IMG_055402.jpg,1024,600,9,0.63
IMG_055403.jpg,1024,600,4,0.61
IMG_055404.jpg,1024,600,0,0.6
IMG_055410.jpg,1024,600,9,0.62
IMG_055411.jpg,1024,600,9,0.7
IMG_055412.jpg,1024,600,19,0.64
IMG_055413.jpg,1024,600,5,0.62
IMG_055414.jpg,1024,600,1,0.65
IMG_055420.jpg,1024,600,12,0.62
IMG_055421.jpg,1024,600,13,0.71
IMG_055422.jpg,1024,600,15,0.69
IMG_055423.jpg,1024,600,11,0.65
IMG_055424.jpg,1024,600,1,0.7
IMG_055430.jpg,1024,600,1,0.6
IMG_055431.jpg,1024,600,13,0.59
IMG_055432.jpg,1024,600,4,0.59
IMG_055433.jpg,1024,600,2,0.6
IMG_055434.jpg,1024,600,0,0.63
IMG_055440.jpg,1024,600,0,0.64
IMG_055441.jpg,1024,600,5,0.64
IMG_055442.jpg,1024,600,1,0.69
IMG_055443.jpg,1024,600,0,0.63
IMG_055444.jpg,1024,600,0,0.62
